Modelo;SKU;Gama;Precio;% Descuento;Precio Normal
Apple - Airpods 4;001.007.0284;Audio;$149.990;-25%;$199.990
Apple - Airpods 4 con Noise Cancelling;001.007.0285;Audio;$199.990;-33%;$299.990
Apple - Earpods USB-C;001.007.0221;Audio;$20.990;-30%;$29.990
Apple AirPods Pro 3;001.007.0332;Audio;$279.990;-20%;$349.990
Apple -Apple - Earpods;001.007.0113;Audio;$20.990;-30%;$29.990
Apple -Apple - Cargador 20W;001.007.0115;Energia ;$22.990;-23%;$29.990
Cable de carga USB-C a Lightning 1 m;001.007.0224;Energia ;$20.990;-30%;$29.990
Cable de carga USB-C de 60W 1 m;001.007.0225;Energia ;$20.990;-30%;$29.990
Apple AirTag 2da Gen;001.007.0377;Smarthome;$32.990;0%;$32.990
Apple AirTag 2da Gen pack 4;001.007.0378;Smarthome;$104.990;-5%;$110.990
Lamina Protectora Pro Screen Film Lite;001.007.0352;Proteccion;$9.990;-50%;$19.990
Honor Choice X7 Lite;001.007.0306;Audio;$19.990;-50%;$39.990
HONOR Earbuds 4;001.007.0380;Audio;$49.990;-29%;$69.990
HONOR Choice Watch 2i;001.007.0379;Wearables;$29.990;-50%;$59.990
Huawei Freebuds 7i Black;001.007.0390;Audio;$74.990;-32%;$109.990
Huawei Freebuds Pro 4 Black;001.007.0313;Audio;$119.990;-40%;$199.990
Huawei Freebuds Pro 5 Gray;001.007.0367;Audio;$159.990;-20%;$199.990
Huawei Freebuds SE 3 Black;001.007.0291;Audio;$32.990;-45%;$59.990
Huawei Freebuds SE 3 Gold;001.007.0292;Audio;$32.990;-45%;$59.990
Huawei Freeclip 2 Black;001.007.0374;Audio;$144.990;-28%;$199.990
Huawei Freeclip 2 Blue;001.007.0368;Audio;$144.990;-28%;$199.990
Huawei Matepad 11.5 128 teclado y lapiz;001.007.0376;Tablet;$359.990;-14%;$419.990
Huawei Band 10 Black;001.007.0392;Wearables;$32.990;-34%;$49.990
Huawei Band 10 Pink;001.007.0391;Wearables;$32.990;-34%;$49.990
Huawei Watch Fit 4 Black;001.007.0302;Wearables;$109.990;-35%;$169.990
Huawei Watch Fit 4 Pro Black;001.007.0304;Wearables;$189.990;-37%;$299.990
Huawei Watch Fit 4 Pro Green;001.007.0305;Wearables;$189.990;-37%;$299.990
Huawei Watch Fit 4 Purple;001.007.0303;Wearables;$109.990;-35%;$169.990
Huawei Fit 5 Purple;001.007.0394;Wearables;$149.990;-12%;$169.990
Huawei Fit 5 Black;001.007.0395;Wearables;$149.990;-12%;$169.990
Huawei Fit 5 Pro Black;001.007.0396;Wearables;$229.990;-23%;$299.990
Huawei Fit 5 Pro Orange;001.007.0397;Wearables;$229.990;-23%;$299.990
Huawei Watch GT 6 41mm Purple;001.007.0327;Wearables;$149.990;-40%;$249.990
Huawei Watch GT 6 46mm Black;001.007.0328;Wearables;$149.990;-40%;$249.990
Huawei Watch GT 6 Pro 46mm Black;001.007.0355;Wearables;$249.990;-29%;$349.990
Motorola Moto Buds 2 Plus Sound By Bose;001.007.0393;Audio;$109.990;-27%;$149.990
Motorola Moto Buds Bass Negro;001.007.0360;Audio;$34.990;-42%;$59.990
Motorola Moto Buds Bass Verde;001.007.0361;Audio;$34.990;-42%;$59.990
Motorola Moto Buds Loop Verde;001.007.0317;Audio;$64.990;-68%;$199.990
Motorola Moto Sound Flow Beige;001.007.0366;Audio;$159.990;-19%;$209.990
Motorola Moto Sound Flow Negro;001.007.0365;Audio;$159.990;-19%;$209.990
Motorola Cargador 68W Turbo Power Negro;001.007.0318;Energia ;$29.990;-25%;$39.990
Motorola Moto Tag 2 Cafe;001.007.0364;Smarthome;$32.990;-34%;$49.990
Motorola Moto Watch Negro Metalico;001.007.0363;Wearables;$89.990;-40%;$149.990
Motorola Moto Watch Negro Silicona;001.007.0362;Wearables;$89.990;-40%;$149.990
Nintendo Switch 2 con Mario Kart World;001.007.0308;Gaming;$639.990;-17%;$769.990
Nintendo Switch 2 System;001.007.0309;Gaming;$599.990;-14%;$699.990
Nintendo Switch v1.1 Bundle Mario Kart 8;001.007.0325;Gaming;$339.990;-19%;$419.990
Nintendo Switch v1.1 Bundle Mario Wonder;001.007.0369;Gaming;$329.990;-21%;$419.990
Samsung Galaxy Buds Core Negro;001.007.0336;Audio;$42.990;-46%;$79.990
Cargador Samsung SFC 25W USB C;001.007.0172;Energia ;$15.990;-47%;$29.990
Cargador Samsung Tipo C 25W 2nd Gen;001.007.0333;Energia ;$15.990;-47%;$29.990
Samsung Cargador Tipo C 45W;001.007.0335;Energia ;$34.990;-36%;$54.990
Samsung Galaxy Tab A11;001.007.0350;Tablet;$139.990;-33%;$209.990
Samsung Galaxy Tab S10 Lite;001.007.0342;Tablet;$399.990;-11%;$449.990
OTT STB 4K ATV SEI500W;001.004.0003;OTT;$49.990;-17%;$59.990
Audifonos Headphones Sony WH-CH520 Black;001.007.0315;Audio;$29.990;-34%;$49.990
Audífonos Sony True Wireless WF-C510;001.007.0334;Audio;$32.990;-34%;$49.990
Parlante Sony Portatil ULT FIELD 1 Black;001.007.0330;Audio;$69.990;-46%;$129.990
Parlante Sony Portatil ULT FIELD 1 Gray;001.007.0331;Audio;$69.990;-46%;$129.990
Sony Audifono WHULT900 Black;001.007.0385;Audio;$104.990;-42%;$179.990
Sony Audifonos Headphones WH CH520 Rosa;001.007.0383;Audio;$29.990;-34%;$49.990
Sony Audifonos Headphones WH CH720 Black;001.007.0384;Audio;$64.990;-35%;$99.990
Sony Audifonos WI C100 Black;001.007.0382;Audio;$18.990;-27%;$25.990
Control PS5 DualSense Midnight Black;001.007.0343;Gaming;$68.990;-23%;$89.990
Control PS5 DualSense White;001.007.0344;Gaming;$68.990;-23%;$89.990
PS5 Slim Digital 2 Juegos GT7-AstroBot;001.007.0345;Gaming;$599.990;-20%;$749.990
PS5 Slim Digital con GT7-AstroBot 825GB;001.007.0353;Gaming;$599.990;-20%;$749.990
PS5 Slim Standard con GT7-AstroBot Matte;001.007.0354;Gaming;$679.990;-22%;$869.990
Redmi Buds 6 Active - Black;001.007.0275;Audio;$16.990;-43%;$29.990
Redmi Buds 8 Active - Black;001.007.0373;Audio;$18.990;-5%;$19.990
Xiaomi Redmi Buds 8 Pro Black;001.007.0356;Audio;$64.990;-28%;$89.990
Xiaomi Sound Outdoor 30W Black;001.007.0295;Audio;$39.990;-43%;$69.990
Xiaomi Sound Outdoor 30W Gold;001.007.0387;Audio;$39.990;-43%;$69.990
Xiaomi Sound Outdoor 30W Green;001.007.0388;Audio;$39.990;-43%;$69.990
Xiaomi Sound Party;001.007.0370;Audio;$74.990;-25%;$99.990
Xiaomi Sound Pocket 5W Black;001.007.0294;Audio;$15.990;-47%;$29.990
Xiaomi Sound Pocket 5W Rosado;001.007.0386;Audio;$15.990;-47%;$29.990
Xiaomi 33W PowerBank 20000mAh;001.007.0296;Energia ;$24.990;-58%;$59.990
Xiaomi Power Bank 10000mAh 22.5W Lite;001.007.0319;Energia ;$12.990;-13%;$14.990
Camara Xiaomi Outdoor Security CW300;001.007.0348;Smarthome;$42.990;-34%;$64.990
Mi Smart Camera C200;001.007.0181;Smarthome;$25.990;-63%;$69.990
Xiaomi Body Composition Scale S400;001.007.0320;Smarthome;$22.990;-54%;$49.990
Xiaomi Smart Camera C201;001.007.0357;Smarthome;$25.990;-35%;$39.990
Xiaomi Smart Projector L1;001.007.0371;Smarthome;$179.990;-40%;$299.990
Xiaomi Mi Vacuum Cleaner Mini;001.007.0375;Smarthome;$39.990;-20%;$49.990
Xiaomi Smart Air Purifier 4 compact EU;001.007.0398;Smarthome;$79.990;-20%;$99.990
Xiaomi Smart Pet Food Feeder 2 EU;001.007.0399;Smarthome;$89.990;-18%;$109.990
Xiaomi Smart Pet Fountain 2 EU;001.007.0400;Smarthome;$44.990;-25%;$59.990
Xiaomi Smart Doorbell 3S;001.007.0401;Smarthome;$79.990;-11%;$89.990
Xiaomi Self Install Smart Lock;001.007.0402;Smarthome;$129.990;0%;$129.990
Xiaomi Robot Vacumm S40 EU;001.007.0389;Smarthome;$164.990;-25%;$219.990
Redmi Pad Pro 2 6-128 con Lapiz y Case;001.007.0323;Tablet;$299.990;-25%;$399.990
Xiaomi Pad 7 8-128 con teclado y lapiz;001.007.0372;Tablet;$459.990;-23%;$599.990
Xiaomi Redmi Pad 2 Gray Set;001.007.0322;Tablet;$179.990;-40%;$299.990
Redmi Watch 5 Active Black;001.007.0300;Wearables;$29.990;-40%;$49.990
Xiaomi Redmi Watch 5 Lite Black;001.007.0358;Wearables;$43.990;-37%;$69.990
Xiaomi Redmi Watch 5 Lite Light Gold;001.007.0359;Wearables;$43.990;-37%;$69.990
