Modelo;SKU;Estado Comercial;Equipo con Portabilidad;% Descuento;Bancos Asociados 24 cuotas sin interes de:;Equipo en Renovacion;% Descuento;Bancos Asociados 24 cuotas sin interes de:;Equipo con Nuevo Numero;% Descuento;Todos los bancos 12 cuotas sin interes de:;Prepago Exclusivo wom.cl;% Descuento;Todos los bancos 12 cuotas sin interes de:;Precio Normal
BMobile C42 4G Gray;001.002.2838;En Oferta;$40.800;-32%;$1.700;$40.800;-32%;$1.700;$40.800;-32%;$3.400;$52.800;-12%;$4.400;$59.990
BMobile C42 4G Blue;001.002.2932;En Oferta;$40.800;-32%;$1.700;$40.800;-32%;$1.700;$40.800;-32%;$3.400;$52.800;-12%;$4.400;$59.990
Motorola Moto G06 4G 128GB Azul;001.002.2913;En Oferta;$88.800;-32%;$3.700;$88.800;-32%;$3.700;$88.800;-32%;$7.400;$100.800;-22%;$8.400;$129.990
Motorola Moto G06 4G 128GB Verde;001.002.2914;En Oferta;$88.800;-32%;$3.700;$88.800;-32%;$3.700;$88.800;-32%;$7.400;$100.800;-22%;$8.400;$129.990
Redmi A5 4G 128GB Black;001.002.2788;En Oferta;$88.800;-37%;$3.700;$88.800;-37%;$3.700;$88.800;-37%;$7.400;$100.800;-28%;$8.400;$139.990
ZTE Blade A56 Pro 4G 128GB Grey;001.002.2822;En Oferta;$84.000;-44%;$3.500;$84.000;-44%;$3.500;$84.000;-44%;$7.000;$96.000;-36%;$8.000;$149.990
Honor X5c 4G 128GB Black;001.002.2912;En Oferta;$96.000;-36%;$4.000;$96.000;-36%;$4.000;$96.000;-36%;$8.000;$108.000;-28%;$9.000;$149.990
Redmi 15C 4G 128GB Black;001.002.2844;En Oferta;$108.000;-32%;$4.500;$108.000;-32%;$4.500;$108.000;-32%;$9.000;$120.000;-25%;$10.000;$159.990
Redmi 15C 4G 128GB Blue;001.002.2896;En Oferta;$108.000;-32%;$4.500;$108.000;-32%;$4.500;$108.000;-32%;$9.000;$120.000;-25%;$10.000;$159.990
Honor X5b Plus 4G 256GB Black;001.002.2735;En Oferta;$79.200;-56%;$3.300;$79.200;-56%;$3.300;$79.200;-56%;$6.600;$91.200;-49%;$7.600;$179.990
Honor X5b Plus 4G 256GB Blue;001.002.2736;En Oferta;$79.200;-56%;$3.300;$79.200;-56%;$3.300;$79.200;-56%;$6.600;$91.200;-49%;$7.600;$179.990
Motorola Moto G05 4G 64GB Verde;001.002.2754;En Oferta;$72.000;-60%;$3.000;$72.000;-60%;$3.000;$72.000;-60%;$6.000;$84.000;-53%;$7.000;$179.990
Motorola Moto G05 4G 64GB Rojo;001.002.2755;En Oferta;$72.000;-60%;$3.000;$72.000;-60%;$3.000;$72.000;-60%;$6.000;$84.000;-53%;$7.000;$179.990
Redmi 15C 4G 256GB Black;001.002.2828;End of Life;$120.000;-40%;$5.000;$120.000;-40%;$5.000;$120.000;-40%;$10.000;$139.200;-30%;$11.600;$199.990
Redmi 15C 4G 256GB Blue;001.002.2829;End of Life;$120.000;-40%;$5.000;$120.000;-40%;$5.000;$120.000;-40%;$10.000;$139.200;-30%;$11.600;$199.990
Redmi 14C 4G 256GB Starry Blue;001.002.2670;End of Life;$64.800;-68%;$2.700;$64.800;-68%;$2.700;$64.800;-68%;$5.400;$84.000;-58%;$7.000;$199.990
Redmi 14C 4G 256GB Midnight Black;001.002.2671;End of Life;$64.800;-68%;$2.700;$64.800;-68%;$2.700;$64.800;-68%;$5.400;$84.000;-58%;$7.000;$199.990
